,Mobile_name,Colour,Price,Rating,No_of_Ratings,RAM,ROM,Screen_size,Rear_Camera,Front_camera,Battery(mAh),Processor,Brand
1290,Samsung Galaxy A6 ,Gold,25500,4.4,672,4 ,64,14.22,16,16MP,3000,,Samsung
1291,Samsung Galaxy A9 ,Caviar Black,24990,4.3,560,8 ,128,16.0,24,24MP,3800,Qualcomm Snapdragon 660 ,Samsung
1292,Samsung GALAXY M51 ,Celestial Black,24790,4.2,99,6 ,128,17.02,64,,7000,,Samsung
1293,Samsung Galaxy A51 ,Crush Blue,24499,4.4,1934,8 ,128,16.51,48,32MP,4000,Exynos 9611 ,Samsung
1294,Samsung Galaxy A51 ,Crush Black,24499,4.4,1934,8 ,128,16.51,48,32MP,4000,Exynos 9611 ,Samsung
1295,Samsung Galaxy A51 ,Crush Silver,24499,4.4,1934,8 ,128,16.51,48,32MP,4000,Exynos 9611 ,Samsung
1296,Samsung Galaxy A51 ,Crush White,24499,4.4,1934,8 ,128,16.51,48,32MP,4000,Exynos 9611 ,Samsung
1297,Samsung M31s ,Mirage Blue,23500,5,5,8 ,128,16.51,64,32MP,6000,Exynos 9611 octa core processor ,Samsung
1298,Samsung GALAXY M51 ,ELECTRIC BLUE,23308,4.2,99,6 ,128,17.02,64,,7000,,Samsung
1299,Samsung Galaxy A51 ,Crush Silver,22999,4.3,7076,6 ,128,16.51,48,32MP,4000,Exynos 9611 ,Samsung
1300,Samsung Galaxy A51 ,Crush Blue,22999,4.3,7076,6 ,128,16.51,48,32MP,4000,Exynos 9611 ,Samsung
1301,Samsung Galaxy A51 ,Crush Black,22999,4.3,7076,6 ,128,16.51,48,32MP,4000,Exynos 9611 ,Samsung
1302,Samsung GALAXY M31S ,Mirage Black,22999,5,6,8 ,128,16.51,64,,6000,,Samsung
1303,Samsung Galaxy A50 ,Black,22500,4.4,11149,6 ,64,16.26,25,25MP,4000,Exynos 9610 ,Samsung
1304,Samsung Galaxy A6+ ,Black,21990,4.4,4208,4 ,64,15.24,16,24MP,3500,,Samsung
1305,Samsung Galaxy A6+ ,Gold,21990,4.4,4208,4 ,64,15.24,16,24MP,3500,,Samsung
1306,Samsung Galaxy M31s ,Mirage Blue,21844,4.3,231,6 ,128,16.51,64,,6000,,Samsung
1307,Samsung Galaxy J7 Pro ,Black,20995,4.4,9530,3 ,64,13.97,13,13MP,3600,Exynos Octa-Core 1.6GHz ,Samsung
1308,Samsung Galaxy M31s ,Mirage Black,20700,4.3,231,6 ,128,16.51,64,,6000,,Samsung
1309,Samsung J7 Max ,Black,19995,4.3,17360,4 ,32,14.48,13,13MP,3300,Mediatek Octa-Core 1.69GHz ,Samsung
1310,Samsung Galaxy M31 ,Ocean Blue,19899,3.7,20,8 ,128,16.26,64,32MP,6000,Samsung Exynos 9 Octa 9611 ,Samsung
1311,Samsung Galaxy M31 ,Space Black,19898,3.7,20,8 ,128,16.26,64,32MP,6000,Samsung Exynos 9 Octa 9611 ,Samsung
1312,Samsung Galaxy J8 ,Black,19500,4.4,19330,4 ,64,15.24,16,16MP,3500,Qualcomm Snapdragon SDM450 ,Samsung
1313,Samsung Galaxy J8 ,Gold,19500,4.4,19330,4 ,64,15.24,16,16MP,3500,Qualcomm Snapdragon SDM450 ,Samsung
1314,Samsung Galaxy A31 ,Crush Black,18999,4.3,6117,6 ,128,16.26,48,20MP,5000,MediaTek (MT6768) Octa Core ,Samsung
1315,Samsung Galaxy A31 ,Crush Blue,18999,4.3,6117,6 ,128,16.26,48,20MP,5000,MediaTek (MT6768) Octa Core ,Samsung
1316,Samsung Galaxy A31 ,Crush White,18999,4.3,6117,6 ,128,16.26,48,20MP,5000,MediaTek (MT6768) Octa Core ,Samsung
1317,Samsung Galaxy A50 ,Blue,18999,4.4,11149,6 ,64,16.26,25,25MP,4000,Exynos 9610 ,Samsung
1318,Samsung Galaxy A50 ,White,18999,4.4,11149,6 ,64,16.26,25,25MP,4000,Exynos 9610 ,Samsung
1319,Samsung Galaxy J8 ,Blue,18990,4.4,19330,4 ,64,15.24,16,16MP,3500,Qualcomm Snapdragon SDM450 ,Samsung
1320,Samsung Galaxy A30s ,Crush Black,18900,4.3,4163,4 ,64,16.26,25,16MP,4000,Exynos 7904 ,Samsung
1321,Samsung Galaxy A30s ,Crush White,18812,4.3,4163,4 ,64,16.26,25,16MP,4000,Exynos 7904 ,Samsung
1322,Samsung Galaxy A30 ,White,18000,4.4,17528,4 ,64,16.26,16,16MP,4000,Exynos 7904 ,Samsung
1323,Samsung Galaxy A30 ,Blue,18000,4.4,17528,4 ,64,16.26,16,16MP,4000,Exynos 7904 ,Samsung
1324,Samsung Galaxy A30 ,Red,18000,4.4,17528,4 ,64,16.26,16,16MP,4000,Exynos 7904 ,Samsung
1325,Samsung Galaxy A70s ,Crush Red,17999,4.3,1500,6 ,128,17.02,64,32MP,4500,Qualcomm SM6150 ,Samsung
1326,Samsung Galaxy A70s ,Crush Black,17999,4.3,1500,6 ,128,17.02,64,32MP,4500,Qualcomm SM6150 ,Samsung
1327,Samsung Galaxy A70s ,Crush White,17999,4.3,1500,6 ,128,17.02,64,32MP,4500,Qualcomm SM6150 ,Samsung
1328,Samsung Galaxy M31 ,Space Black,17999,4.3,4114,6 ,128,16.26,64,32MP,6000,Samsung Exynos 9 Octa 9611 ,Samsung
1329,Samsung Galaxy A7 ,Blue,17990,4.4,12841,4 ,64,15.24,24,24MP,3300,Samsung Exynos Octa Core ,Samsung
1330,Samsung Galaxy J7 Duo ,Black,17962,4.3,2788,4 ,32,13.97,13,8MP,3000,Exynos 7884 ,Samsung
1331,Samsung Galaxy J7 Duo ,Gold,17889,4.3,2788,4 ,32,13.97,13,8MP,3000,Exynos 7884 ,Samsung
1332,Samsung Galaxy M31 ,Ocean Blue,17887,4.3,4114,6 ,128,16.26,64,32MP,6000,Samsung Exynos 9 Octa 9611 ,Samsung
1333,Samsung Galaxy A30 ,Black,17500,4.4,17528,4 ,64,16.26,16,16MP,4000,Exynos 7904 ,Samsung
1334,Samsung M31 Prime ,Ocean Blue,17479,4.4,25,6 ,128,16.26,64,,6000,,Samsung
1335,Samsung M31 Prime ,IceBerg Blue,17479,4.4,25,6 ,128,16.26,64,,6000,,Samsung
1336,Samsung M31 Prime ,Space Black,17429,4.4,25,6 ,128,16.26,64,,6000,,Samsung
1337,Samsung Galaxy M30S ,Black,17299,4.3,3845,4 ,128,16.26,48,16MP,6000,,Samsung
1338,Samsung Galaxy A21s ,Blue,16999,4.2,4727,6 ,128,16.51,48,13MP,5000,Exynos 850 Octa Core ,Samsung
1339,Samsung Galaxy A21s ,Silver,16999,4.2,4727,6 ,128,16.51,48,13MP,5000,Exynos 850 Octa Core ,Samsung
